,tf-cod,pytorch-qrcp,pytorch-svd,pytorch-svddc,sklearn-svddc,mxnet-svddc
0,48.57422671325297,92.71542912458135,48.574220850786645,48.57421742216532,48.574226713253026,48.574226713253026
1,44.86025320299942,70.48371888876477,44.86023898770962,44.86000038367007,44.860253202999296,44.860253202999296
2,58.33090503570472,95.15485549078585,58.33088224816313,58.33088601933363,58.33090503570472,58.33090503570472
3,42.86214571347414,67.11927177781395,42.86213105248784,42.86213703771329,42.86214571347409,42.86214571347409
4,52.21882683706823,87.42964262559487,52.218820310522446,52.21878046292833,52.218826837068214,52.218826837068214
5,47.41404471974642,82.22271478121993,47.414038916421966,47.41403364885096,47.41404471974651,47.41404471974651
6,40.42194765803181,74.19141978082756,40.42194798280473,40.4219466345306,40.42194765803185,40.42194765803185
7,45.97912845935523,73.57621801483086,45.97911978031069,45.97914522852421,45.97912845935528,45.97912845935528
8,55.09838754213273,52.85609824954387,55.098382983144134,55.09841069556219,55.098387542132706,55.098387542132706
9,48.953661577532124,50.683722223230546,48.9536619806448,48.95367545956748,48.953661577532124,48.953661577532124
