,tf-cod,pytorch-qrcp,pytorch-svd,pytorch-svddc,sklearn-svddc,mxnet-svddc
0,2359.4555007904983,2954.7707780679634,2359.454931260996,2359.4545981757888,2359.455500790504,2359.455500790504
1,2012.4423174372193,2294.378543379969,2012.4410420344225,2012.4196344228787,2012.4423174372084,2012.4423174372084
2,3402.494482284402,3875.513356627353,3402.4918238490727,3402.492263800492,3402.494482284402,3402.494482284402
3,1837.1635351630898,2187.168870402185,1837.1622783606424,1837.1627914397136,1837.1635351630857,1837.1635351630857
4,2726.805876239717,3319.717214591688,2726.8051946226315,2726.801033035505,2726.8058762397154,2726.8058762397154
5,2248.0916366861134,2469.74284625567,2248.091086367977,2248.0905868543714,2248.0916366861215,2248.0916366861215
6,1633.9338524686636,1720.0078799591975,1633.9338787245717,1633.9337697248397,1633.9338524686664,1633.9338524686664
7,2114.0802538818903,2591.2737110940543,2114.079455772158,2114.081795945721,2114.0802538818944,2114.0802538818944
8,3035.832309743047,2832.4287181077343,3035.831807357227,3035.834861176842,3035.8323097430443,3035.8323097430443
9,2396.460981847545,1906.0052081473332,2396.461021315228,2396.4623410006593,2396.460981847545,2396.460981847545
