,tf-necd,tf-cod,pytorch-qrcp,pytorch-qr,pytorch-svd,pytorch-svddc,sklearn-svddc,mxnet-svddc
0,310.46310287520765,310.46310287531765,809.623239878824,310.46300148296655,505.3123757376147,505.3123365899139,310.4631028752684,310.4631028752684
1,304.36159105718895,304.36159105710294,839.3909983111784,304.36154196042986,503.03819133737125,503.03823718094156,304.3615910570421,304.3615910570421
2,313.1154927781322,313.1154927786636,816.0813205344353,313.1154671113959,506.7864526090362,506.786500211376,313.11549277867675,313.11549277867675
3,303.0102359759663,303.0102359755914,816.764186185287,303.01029004595074,485.31562138937613,485.31550579685387,303.0102359755052,303.0102359755052
4,285.2645720308303,285.2645720307714,813.4352688085853,285.2648660900681,487.02368092916277,487.0236878992211,285.26457203065985,285.26457203065985
5,321.36671622460284,321.366716224872,803.6817904849222,321.36660557037646,504.40008135863206,504.4000666935512,321.36671622494185,321.36671622494185
6,310.86362688029396,310.86362688034205,900.9597538141633,310.863607019975,517.5885003357638,517.5885361092697,310.8636268803663,310.8636268803663
7,313.2820761105391,313.28207611047225,866.5230632815939,313.28204233570546,510.4327752061435,510.43276525852804,313.28207611050374,313.28207611050374
8,304.2211447535072,304.2211447534868,832.523191412897,304.2212558367193,504.8514567291397,504.85134891588734,304.2211447534667,304.2211447534667
9,339.7925513850805,339.79255138515447,826.2804439728865,339.7925890011404,509.8291129925028,509.8290072340945,339.79255138517163,339.79255138517163
