,tf-necd,tf-cod,pytorch-qrcp,pytorch-qr,pytorch-svd,pytorch-svddc,sklearn-svddc,mxnet-svddc
0,0.7272842575525889,0.7272842575524923,0.28881427499712475,0.727284346617151,0.5561255477996658,0.5561255821876308,0.7272842575525356,0.7272842575525356
1,0.7441365149053305,0.7441365149054029,0.29435957790861933,0.7441365561788298,0.5771177817666396,0.5771177432279541,0.744136514905454,0.744136514905454
2,0.7321540348420277,0.7321540348415732,0.2935817616478128,0.7321540567979254,0.5664835830265491,0.5664835423064476,0.7321540348415618,0.7321540348415618
3,0.742799065122469,0.7427990651227871,0.2830553501816718,0.7427990192268229,0.5880547364019808,0.5880548345191441,0.7427990651228604,0.7427990651228604
4,0.7572527069897087,0.7572527069897589,0.28134353608778395,0.7572524567585516,0.5855647992464872,0.5855647933152817,0.7572527069898538,0.7572527069898538
5,0.7311288688904714,0.7311288688902462,0.31601000470358387,0.7311289614692156,0.5779941930518717,0.5779942053213964,0.7311288688901878,0.7311288688901878
6,0.7443161102856544,0.7443161102856147,0.2906724366562756,0.7443161266206744,0.5742858617286107,0.5742858323050681,0.7443161102855947,0.7443161102855947
7,0.7357959462352877,0.7357959462353441,0.2692243999170101,0.7357959747190366,0.5695304051284072,0.5695304135176531,0.7357959462353175,0.7357959462353175
8,0.7389755075679271,0.7389755075679445,0.28568737901037955,0.7389754122575268,0.5668328861457381,0.5668329786504833,0.7389755075679618,0.7389755075679618
9,0.6949464672047476,0.6949464672046812,0.2581949686851208,0.6949464334344019,0.5422937571577927,0.5422938521038883,0.6949464672046659,0.6949464672046659
