,tf-cod,pytorch-qrcp,pytorch-qr,pytorch-svd,pytorch-svddc,sklearn-svddc,mxnet-svddc
0,1.7663351380905143,58.54531058442046,1.7661229374063008,24.785712348913034,24.785712341848242,1.7663351383614474,1.7669185548288802
1,1.940647274046956,66.72445955911815,1.9406018642920244,24.990279903060408,24.990279903060408,1.9406472740224476,1.9414417105993962
2,2.06263976997577,50.51278770349852,2.0614291988802464,25.56837331405748,25.568373310845786,2.062639770067601,2.0637261928062145
3,1.992709145147268,56.22694466751795,1.9930628616454698,24.493036352654794,24.493036352654794,1.9927091452593138,1.9939834150718792
4,3.1187688754938105,58.502844736806566,3.118832946140861,25.74369935692172,25.74369935692172,3.118768875509817,3.119649629744548
5,1.740321531271069,66.31988397926845,1.7402411903469501,24.60704428810863,24.607044287344724,1.7403215309874294,1.7415990659798781
6,1.8502740873005274,70.26842768890596,1.8503091125930327,25.12475919194755,25.12475918753697,1.8502740873152717,1.8509648889352928
7,4.238539184493256,68.06157711789568,4.238902478534589,25.378962728746536,25.378962728746536,4.238539185102592,4.2350905427365815
8,1.9820763542066435,63.96072457470572,1.9825667969305119,24.802878536880662,24.80287853322073,1.982076353485192,1.9831565082272955
9,2.045577588227026,62.7819142009173,2.0450012989919943,25.237004732141184,25.237004731896945,2.045577587994349,2.0464105423136356
