,tf-cod,pytorch-qrcp,pytorch-svd,pytorch-svddc,sklearn-svddc,mxnet-svddc
0,33.57948387626984,29.13178977187802,31.635925061124603,31.635926363348286,33.57948387626651,33.57948387626651
1,33.402218044087896,28.330928772343633,30.24431232391551,30.24431345642907,33.40221804407015,33.40221804407015
2,33.20682890236232,41.25333248374015,30.85435146259648,30.854356876417377,33.206828902343936,33.206828902343936
3,36.03770874009616,78.62789582462557,30.53784234930967,30.537843698906894,36.037708740083595,36.037708740083595
4,35.23148857499314,81.08217816506371,30.508554328670566,30.508552955901525,35.231488574992696,35.231488574992696
5,38.57367280200952,63.270128108988075,34.76750117615995,34.767500454426184,38.57367280196332,38.57367280196332
6,33.76351200247005,41.89031172872237,31.14290189138339,31.14290489411941,33.76351200247317,33.76351200247317
7,40.84825695885993,94.09143909978022,39.95102869685299,39.9510307618193,40.84825695886416,40.84825695886416
8,33.983442229416944,30.740021694515004,30.740265653702377,30.74026575644439,33.98344222940729,33.98344222940729
9,39.09182244453578,86.57543240818629,37.01415639217041,37.014156078558074,39.091822444518144,39.091822444518144
