,tf-cod,pytorch-qrcp,pytorch-svd,pytorch-svddc,sklearn-svddc,mxnet-svddc
0,6.2693723584265735,9.710850503084734,9.22499109771274,9.224991118477789,6.269372358426561,6.269372358426561
1,6.268479212809006,10.624870203014718,9.445097812864894,9.445098171986158,6.268479212808978,6.268479212808978
2,6.262162151619915,9.620932910750609,9.196823134288362,9.196823593507137,6.262162151619884,6.262162151619884
3,6.070106198136067,9.602259330784955,9.129886330916433,9.129886686410044,6.070106198136078,6.070106198136078
4,6.100581631597545,9.802791057984958,9.365688335616206,9.3656897383579,6.100581631597553,6.100581631597553
5,6.252364198961919,9.71324260575896,9.184135463306484,9.184136030076282,6.252364198961885,6.252364198961885
6,6.175432618037931,9.771882755079039,9.170594071603826,9.170593893212082,6.17543261803794,6.17543261803794
7,6.070462710176056,9.77071940667487,9.162568761671862,9.162568887723758,6.070462710176047,6.070462710176047
8,6.153528226736844,9.728252735532099,9.206792349330373,9.206792261267344,6.153528226736869,6.153528226736869
9,6.179539726690396,9.686948779976515,9.217923495680678,9.217923907653857,6.179539726690396,6.179539726690396
