,tf-cod,pytorch-qrcp,pytorch-svd,pytorch-svddc,sklearn-svddc,mxnet-svddc
0,1010.7371421200879,2851.3364447252607,1016.2932354286918,1016.293347469054,1010.7371317876226,1010.7519137771669
1,895.2976535574427,1172.885556253745,918.6736367600496,918.668484768714,895.297683020118,895.1268085758703
2,1323.1375239335373,2753.913431907488,1319.5958009268002,1319.5958767193667,1323.15708239602,1323.1381215111387
3,740.1436293710354,1164.7559012089641,751.9787884933584,751.9786976686037,740.1436488915874,740.1320135150355
4,833.9572670740498,1033.3630695763097,865.8949556261294,865.8946633208152,833.9572853909999,833.9289718598671
5,940.6587410997047,1535.9244489683952,933.59248126539,933.5913754365165,940.6361694408808,940.7915359411129
6,846.0908550750086,17016.583940572113,861.9654393828904,861.9653310449999,846.090856181054,846.2460004046642
7,892.1278366559462,1091.968314487741,910.2204696142584,910.2205414121457,892.1278349231135,892.2128741963919
8,773.2927420013744,3703.2445476686867,759.254605942045,759.2544180791034,773.2933496598622,773.2682185642761
9,1013.5604214690027,2075.093085877595,1040.0073494173776,1040.0053067215117,1013.5598124980972,1013.6117454842603
