,tf-necd,tf-cod,pytorch-qrcp,pytorch-qr,pytorch-svd,pytorch-svddc,sklearn-svddc,mxnet-svddc
0,0.6407382156629717,0.6407382156629542,-19.640786842940415,0.6407380914601024,-0.24310846961764798,-0.24310702514861626,0.6407382156652068,0.6407382156652068
1,0.6597526290110636,0.6597526290110547,0.641289316366272,0.6597524251027054,-0.2618995078615338,-0.26189918613640684,0.6597526290113729,0.6597526290113729
2,0.5510381394978716,0.5510381394978325,-0.5092725023845197,0.5510381496471388,-0.5138621579190876,-0.5138610519739495,0.5510381394973651,0.5510381394973651
3,0.6278541503595363,0.6278868160376666,-0.4284113883900955,-167511.76265600778,-0.4261044684663733,-0.42610455739152675,0.6278868160388805,0.6278868160388805
4,0.6558614694714867,0.6558614694714293,-0.36068430639260707,0.6558621579102533,-0.36219237450669683,-0.36219141975926616,0.655861469476827,0.655861469476827
5,0.6589599300333542,0.6589599300332496,-0.4557933793805051,0.65895995692037,-0.4545782739120996,-0.45458028033746767,0.6589599300363037,0.6589599300363037
6,0.6715661628303382,0.6715661628306903,-0.4034004793125878,0.6715661785650003,-0.4025784794126508,-0.40257891073546936,0.6715661628431673,0.6715661628431673
7,0.6297544500809695,0.6297544500809357,-0.5108069069222345,0.6297549263848068,-0.5110067044806603,-0.5110090434563501,0.6297544500747988,0.6297544500747988
8,0.6242129083593664,0.6242129083593897,-0.451559931613577,0.6242123623997218,-0.45179158908538675,-0.4517915773731844,0.6242129083598149,0.6242129083598149
9,0.7124792097098225,0.7124792097097672,-0.4160049003107982,0.7124790666303389,-0.41435256669315157,-0.4143528071641427,0.712479209703745,0.712479209703745
