,tf-cod,pytorch-qrcp,pytorch-qr,pytorch-svd,pytorch-svddc,sklearn-svddc,mxnet-svddc
0,3009.37367108997,3740.9145058769814,3012.689149486456,3082.8470872936514,3082.8482152015195,3009.3736658708017,3009.31923208314
1,3061.538845007473,4331.606550498287,3063.8805792075586,3118.643618073317,3118.6435211657963,3061.538844652584,3061.5389400930103
2,3200.3847958509295,7553.259802231867,3198.4562319151887,3290.417925365875,3290.4182571703836,3200.384766800849,3200.338879938492
3,3020.100776761655,7131.049682157425,3019.0338941612845,3099.9640700523933,3099.965220819227,3020.1007754123375,3020.132209046362
4,3101.151718447359,7566.270340432627,3099.424008878642,3182.4054932719555,3182.4059448981766,3101.151721252546,3101.1611497730814
5,3159.158255115439,6285.860824854223,3162.7480331091247,3205.1599365346874,3205.159480777832,3159.158246449727,3159.1520985123243
6,3070.2644444521543,6580.446412880695,3069.9294275001935,3153.5412694172874,3153.541719104506,3070.264444768777,3070.2822559179062
7,3091.8305762669147,7775.467208047091,3090.5603220840735,3164.9975188464277,3164.9975029317898,3091.830575583845,3091.8232204582246
8,3057.641384172426,7693.36458792274,5963.257864691214,3070.077798693376,3070.079031953811,45137530.06252595,3057.6413842015877
9,2956.5903380507243,7012.887678323098,2953.1165287332633,3029.8249342882996,3029.82552951147,2956.590327621055,2956.511794762296
