,tf-cod,pytorch-qrcp,pytorch-svd,pytorch-svddc,sklearn-svddc,mxnet-svddc
0,9.6423696738791,8.993166447772628,9.568199137861855,9.568190674294943,9.642369935874287,9.64362810860595
1,9.28694097828285,14.688216904154261,9.3712793150853,9.371115952286273,9.286941094633093,9.28730628790292
2,9.923297322940517,17.306622025734846,9.884535918758061,9.884535838822375,9.923327804759499,9.928951364659364
3,9.064294802585346,10.807800768840842,9.046997138935469,9.046990143660523,9.064297338487863,9.060377740105704
4,9.48396228555282,24.422839482463463,9.622496385027736,9.622480485582427,9.483965003894514,9.483886958472945
5,9.702621344648131,11.996318209213804,9.710836544331002,9.710760093139292,9.703009384539731,9.704075217824176
6,9.360411199530995,11.219532231771769,9.294415197611004,9.294359636293377,9.360410275650754,9.361793683498734
7,9.595446150262363,26.04248568337013,9.581192458013433,9.581185178253977,9.595447076305726,9.598389466582464
8,9.328963296821167,36.41892771469657,9.196148267084507,9.196050962907073,9.32919242271479,9.329134818434627
9,9.827738443673523,11.42830373573705,9.847630856943953,9.84738260836077,9.828781234599036,9.829493956186278
