,pytorch-qr,pytorch-qrcp,pytorch-svd,pytorch-svddc,sklearn-svddc,tf-cod,tf-necd
10,393600.0,40724700.0,747000.0,759800.0,2392200.0,495200.0,13057600.0
31,250200.0,306400.0,283100.0,287500.0,1050600.0,383800.0,761800.0
100,1253000.0,1153600.0,1258400.0,1240900.0,969500.0,462100.0,711500.0
316,1284600.0,1242200.0,1449800.0,1414800.0,1173700.0,494800.0,700400.0
1000,1492800.0,1541400.0,1681500.0,1386800.0,1298300.0,615000.0,856300.0
3162,1744100.0,2368400.0,1910700.0,1987400.0,4825000.0,1028100.0,1290900.0
10000,2549300.0,3572100.0,2650700.0,2776500.0,9434800.0,3784700.0,1704900.0
