,pytorch-qr,pytorch-qrcp,pytorch-svd,pytorch-svddc,sklearn-svddc,tf-cod,tf-necd
10,1777.3333333333333,1777.3333333333333,16000.0,1333.3333333333333,1333.3333333333333,888.0,2666.6666666666665
31,7377.333333333333,7377.333333333333,27199.999999999996,4133.333333333333,4133.333333333333,3688.0,5466.666666666667
100,25777.333333333332,25777.333333333332,64000.0,13333.333333333334,13333.333333333334,12888.0,14666.666666666666
316,83377.33333333333,83377.33333333333,179200.0,42133.333333333336,42133.333333333336,41688.0,43466.66666666667
1000,265777.3333333334,265777.3333333334,544000.0,133333.33333333334,133333.33333333334,132888.0,134666.66666666666
3162,842310.6666666666,842310.6666666666,1697066.6666666665,421600.00000000006,421600.00000000006,421154.6666666667,422933.3333333333
10000,2665777.3333333335,2665777.3333333335,5344000.0,1333333.3333333335,1333333.3333333335,1332888.0,1334666.6666666667
31622,8431644.0,8431644.0,16875733.333333332,4216266.666666667,4216266.666666667,4215821.333333334,4217600.0
100000,26665777.333333332,26665777.333333332,53344000.00000001,13333333.333333332,13333333.333333332,13332888.0,13334666.666666666
316227,84326310.66666667,84326310.66666667,168665066.66666666,42163600.0,42163600.0,42163154.666666664,42164933.33333333
1000000,266665777.3333333,266665777.3333333,533344000.0,133333333.33333334,133333333.33333334,133332888.0,133334666.66666667
3162277,843272977.3333334,843272977.3333334,1686558400.0,421636933.3333334,421636933.3333334,421636488.0,421638266.6666667
10000000,2666665777.3333335,2666665777.3333335,5333344000.0,1333333333.3333333,1333333333.3333333,1333332888.0,1333334666.6666667
31622776,8432739377.333334,8432739377.333334,16865491200.0,4216370133.333333,4216370133.333333,4216369688.0,4216371466.666667
100000000,26666665777.333332,26666665777.333332,53333344000.0,13333333333.333332,13333333333.333332,13333332888.0,13333334666.666668
316227766,84327403377.33334,84327403377.33334,168654819200.0,42163702133.333336,42163702133.333336,42163701688.0,42163703466.666664
